,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
2520,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,1,2,1.0
2521,2,Bachelor of Science (SOC),F,School of Computing,Out of Campus,3,6,2,2.0
2522,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,2,2,2.0
2523,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,5,2,2.0
2524,2,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,0,4,2,2.0
2525,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,4,2,2.0
2526,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
2527,4,Bachelor of Science,F,School of Science,Halls,1,3,2,2.0
2528,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,2,2.0
2529,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,2,2.0
2530,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,4,2,2.0
2531,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,3,2.0
2532,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,4,1,2,3.0
2533,2,Bachelor of Engineering,M,School of Engineering,Halls,2,2,2,2.0
2534,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,3.0
2535,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,2,2.0
2536,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,2,2.0
2537,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,7,2,2.0
2538,2,Bachelor of Laws,F,School of Law,Residential Colleges,4,4,2,2.0
2539,4,Bachelor of Science (Nursing),F,School of Medicine1,Halls,1,4,2,2.0
2540,3,Bachelor of Science,F,School of Science,Out of Campus,2,5,2,2.0
2541,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,2,1.0
2542,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,1.0
2543,3,Bachelor of Science (Pharmacy),F,School of Science,Halls,1,3,2,2.0
2545,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,2,2,2.0
2546,4,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,1,3,2.0
2547,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,2.0
2548,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,3,3,2.0
2550,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,1,1,2.0
2552,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,6,2,2.0
2553,1,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,3,2,2.0
2554,1,Bachelor of Engineering,F,School of Engineering,Halls,2,4,2,2.0
2555,4,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,2,2.0
2556,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,2,2.0
2557,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,1,2,2.0
2558,3,Bachelor of Engineering,F,School of Engineering,Halls,2,3,2,2.0
2560,1,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,1,3,2,2.0
2561,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,3,3,2,2.0
2562,3,Bachelor of Science,M,School of Science,Out of Campus,2,2,2,2.0
2563,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,2,2.0
2564,1,Bachelor of Science,F,School of Science,Residential Colleges,0,3,1,2.0
2565,2,Bachelor of Computing,F,School of Computing,Out of Campus,2,2,2,3.0
2567,1,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,3,2,3,3.0
2568,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,0,2,1,1.0
2569,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,1.0
2570,3,Bachelor of Engineering,M,School of Engineering,Halls,1,3,1,2.0
2572,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,2.0
2573,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
2574,4,Bachelor of Science,F,School of Science,Out of Campus,1,4,1,2.0
2575,4,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,1.0
2577,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,3,2,2.0
2578,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
2579,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,4,2,2.0
2580,1,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,3.0
2581,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,4,2,2.0
2582,3,Bachelor of Science,F,School of Science,Out of Campus,0,3,2,2.0
2583,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,4,3,3,3.0
2584,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,3,2,2.0
2585,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,2,2,2.0
2586,1,Bachelor of Arts (SDE),F,School of Design & Environment,Halls,1,3,2,2.0
2587,5,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,3,3,2.0
2588,3,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,2,4,2,3.0
2589,4,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
2590,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,2,2,2.0
2591,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,2,2.0
2592,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,2.0
2593,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,4,2,2.0
2594,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,2,1,2.0
2595,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,1,2,2,1.0
2596,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,1.0
2597,2,Bachelor of Computing,F,School of Computing,Out of Campus,0,7,0,1.0
2598,1,Bachelor of Science (Nursing),M,School of Medicine1,Halls,1,1,2,2.0
2599,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,2.0
2600,3,Bachelor of Arts (SDE),M,School of Design & Environment,Out of Campus,0,2,2,2.0
2601,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,2,2,1.0
2602,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,6,2,2.0
2603,1,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
2604,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,4,2,2.0
2605,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,3,1,2,2.0
2606,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,5,2,2.0
2607,3,Bachelor of Science,F,School of Science,Halls,3,3,2,2.0
2608,4,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
2609,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
2610,1,Bachelor of Science,M,School of Science,Out of Campus,1,3,1,3.0
2611,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,1,2.0
2612,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,2,1,2.0
2613,2,Bachelor of Business Admin,F,School of Business School,Residential Colleges,1,5,2,2.0
2614,2,Bachelor of Business Admin,F,School of Business School,Halls,2,2,2,2.0
2615,2,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,0,1,1,2.0
2616,2,Bachelor of Science (SDE),F,School of Design & Environment,Halls,1,3,2,1.0
2617,2,Bachelor of Engineering,M,School of Engineering,Halls,2,3,3,2.0
2618,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,5,2,2.0
2619,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,3.0
2620,1,Bachelor of Business Admin,F,School of Business School,Residential Colleges,3,6,2,2.0
2621,3,Bachelor of Arts,M,School of Arts & Social Science,Halls,1,1,1,1.0
2623,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,3,3,2,0.0
2624,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,2,2,1.0
2625,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,4,1,2.0
