,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
371,1,Bachelor of Laws,F,School of Law,Out of Campus,0,3,1,2.0
372,3,Bachelor of Engineering,F,School of Engineering,Halls,2,2,2,2.0
373,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,1,1,3,3.0
374,3,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Out of Campus,1,2,2,2.0
375,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,1,2,2.0
376,1,Bachelor of Arts,F,School of Arts & Social Science,Residences,2,3,2,3.0
377,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,1.0
378,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,1,1.0
379,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,7,2,3.0
380,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,3,2.0
381,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,1.0
382,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,1,1.0
383,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,3,4,2,2.0
384,4,Bachelor of Science,M,School of Science,Out of Campus,0,3,1,2.0
385,3,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,0,3,2,2.0
386,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
387,3,Bachelor of Science,F,School of Science,Out of Campus,1,8,2,2.0
388,4,Bachelor of Science,M,School of Science,Out of Campus,0,2,2,1.0
389,2,Bachelor of Science,F,School of Science,Halls,2,4,2,2.0
390,2,Bachelor of Computing,M,School of Computing,Out of Campus,1,4,3,3.0
391,3,Bachelor of Computing,M,School of Computing,Out of Campus,0,2,2,2.0
392,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,1,2.0
393,4,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,1.0
394,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,5,2,1.0
395,1,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,2.0
396,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,7,0,2.0
397,4,Bachelor of Science,F,School of Science,Out of Campus,3,5,2,1.0
398,4,Bachelor of Engineering,M,School of Engineering,Halls,4,2,2,2.0
399,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,2,2.0
400,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,2,2.0
401,1,Bachelor of Engineering,F,School of Engineering,Halls,1,1,2,2.0
402,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,5,2,3.0
403,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,6,2,2.0
404,1,Bachelor of Engineering,M,School of Engineering,Halls,2,6,2,2.0
405,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,4,0,2.0
406,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,2,2,1.0
407,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,2,2,2.0
408,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,3,2,2.0
409,3,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,5,2,1.0
410,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,4,2,2.0
411,1,Bachelor of Science,M,School of Science,Out of Campus,3,4,2,3.0
412,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,7,2,2.0
413,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,6,1,2.0
414,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,1,3,2.0
415,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,1,2,2.0
416,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,4,2,2.0
417,3,Bachelor of Laws,F,School of Law,Out of Campus,2,6,2,1.0
418,4,Bachelor of Laws,M,School of Law,Out of Campus,1,1,2,2.0
419,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,4,2,3.0
420,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,4,3,2,2.0
421,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
422,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,3,2,2.0
423,3,Bachelor of Science (SOC),M,School of Computing,Out of Campus,0,1,2,2.0
424,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,1,1.0
425,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,1,2,3.0
427,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,5,1,3.0
428,3,Bachelor of Science,F,School of Science,Residential Colleges,1,3,2,2.0
429,1,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
430,1,Bachelor of Business Admin,F,School of Business School,Halls,2,5,2,2.0
431,3,Bachelor of Science,M,School of Science,Out of Campus,0,2,2,2.0
432,1,Bachelor of Engineering,M,School of Engineering,Halls,3,3,3,2.0
433,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,1,1,3.0
434,2,Bachelor of Science (Pharmacy),F,School of Science,Halls,1,2,1,2.0
435,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
436,1,Bachelor of Engineering (CEG),F,School of Multi Disciplinary Programme,Halls,2,5,2,1.0
438,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,3,6,1,1.0
439,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,3,2,2.0
442,1,Bachelor of Science,F,School of Science,Residential Colleges,2,2,3,3.0
443,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,3,1,3.0
444,1,Bachelor of Computing,M,School of Computing,Residential Colleges,0,1,2,2.0
445,3,Bachelor of Science,M,School of Science,Out of Campus,0,2,2,2.0
446,2,Bachelor of Dental Surgery,F,School of Dentistry,Out of Campus,1,1,2,2.0
447,3,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,3,1.0
448,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,4,2,2.0
450,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,2.0
451,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,4,2,2.0
452,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,4,2,2.0
453,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,4,2,3.0
454,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,4,2,2.0
455,1,Bachelor of Computing,F,School of Computing,Halls,2,4,2,2.0
456,4,Bachelor of Science,M,School of Science,Halls,2,2,2,1.0
457,2,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
458,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,1.0
459,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,2.0
460,2,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,1,1,2,2.0
461,3,Bachelor of Env Studies (FOS),F,School of Science,Out of Campus,2,2,2,2.0
463,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,2,2,2.0
465,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
466,2,Bachelor of Science (SDE),F,School of Design & Environment,Halls,3,5,2,1.0
467,2,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,1,3,0,0.0
468,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,5,2,1.0
469,5,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,3,2,2,2.0
470,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,4,2,2.0
471,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,4,1,2.0
472,2,Bachelor of Env Studies (FOS),M,School of Science,Halls,3,2,2,2.0
473,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,7,2,2.0
474,2,Bachelor of Science,M,School of Science,Out of Campus,1,2,2,2.0
475,1,Bachelor of Computing,M,School of Computing,Out of Campus,1,1,2,1.0
476,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,3,2.0
477,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,1,2,2.0
478,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,2,2.0
479,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,1,1.0
480,1,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,1,3,3.0
481,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,7,2,2.0
482,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,6,2,2.0
483,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,4,2,3.0
484,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
485,2,Bachelor of Science (Pharmacy),M,School of Science,Halls,2,3,1,1.0
486,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,6,3,2.0
487,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,3,3,3.0
488,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,2,1,2.0
489,2,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Out of Campus,0,2,3,2.0
490,2,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,1,1,2,2.0
491,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,3,6,2,2.0
493,3,Bachelor of Engineering,M,School of Engineering,Halls,2,5,2,2.0
494,1,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,1,1,2,2.0
495,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,1,4,2,1.0
496,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,4,9,2,2.0
497,3,Bachelor of Laws,F,School of Law,Out of Campus,1,1,2,2.0
498,1,Yale-University Bachelor's Program,M,School of Foreign College,Out of Campus,1,4,2,2.0
499,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,1,1.0
500,3,Bachelor of Science,F,School of Science,Out of Campus,2,5,2,2.0
501,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,2.0
502,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,6,2,2.0
503,2,Bachelor of Science,M,School of Science,Out of Campus,1,6,2,2.0
504,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
505,4,Bachelor of Laws,M,School of Law,Out of Campus,1,4,2,2.0
506,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
507,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
508,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,2,3,2.0
509,2,Bachelor of Business Admin,F,School of Business School,Halls,2,4,2,2.0
510,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,5,2,1.0
511,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,3,2.0
512,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
513,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,4,2,2.0
514,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
515,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,4,3,3,3.0
516,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,2,2.0
518,2,Bachelor of Science,M,School of Science,Halls,3,5,2,3.0
519,1,Bachelor of Science,M,School of Science,Residential Colleges,2,4,1,3.0
520,1,Bachelor of Science,M,School of Science,Out of Campus,0,6,1,1.0
521,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
522,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,2,2,2.0
523,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,2,2,2.0
524,3,Bachelor of Science,F,School of Science,Out of Campus,2,4,3,3.0
525,2,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,1.0
526,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,2.0
527,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
528,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,8,2,2.0
529,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,3,2,2.0
530,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
531,2,Bachelor of Arts,M,School of Arts & Social Science,Halls,5,2,2,2.0
532,2,Bachelor of Science (SDE),M,School of Design & Environment,Halls,1,5,2,3.0
533,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
534,2,Bachelor of Science,M,School of Science,Out of Campus,1,5,2,3.0
535,4,Bachelor of Engineering,M,School of Engineering,Residential Colleges,4,8,2,1.0
536,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
537,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,2,2.0
538,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,4,2,1.0
539,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,3,2,3.0
540,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,3,2,2.0
541,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,1,2,2.0
542,2,Bachelor of Science,M,School of Science,Out of Campus,2,4,1,1.0
543,2,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,1.0
544,1,Bachelor of Computing,M,School of Computing,Residential Colleges,2,4,2,3.0
545,3,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
546,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
547,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,2,2,2.0
548,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,1,3,2.0
549,2,Bachelor of Computing,M,School of Computing,Halls,3,7,2,2.0
550,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,2,1,2.0
551,5,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,2,2,2.0
554,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,3,2,2.0
555,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,2,2,2.0
556,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,2,2,2.0
557,2,Bachelor of Env Studies (FASS),F,School of Arts & Social Science,Residential Colleges,4,4,2,1.0
558,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,3,3,2,2.0
559,1,Bachelor of Engineering,F,School of Engineering,Halls,1,2,0,2.0
560,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,1,1.0
561,4,Bachelor of Engineering,F,School of Engineering,Halls,2,1,2,1.0
562,4,Bachelor of Science,F,School of Science,Out of Campus,2,2,1,2.0
563,2,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,2,5,2,2.0
564,2,Bachelor of Computing,F,School of Computing,Residential Colleges,2,2,1,1.0
565,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,4,3,3.0
567,2,Bachelor of Engineering,F,School of Engineering,Halls,2,3,2,2.0
570,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,3,2,2.0
571,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,4,1,2,1.0
572,1,Bachelor of Science,M,School of Science,Out of Campus,2,1,2,2.0
573,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,3,3.0
574,1,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,3.0
575,4,Bachelor of Science,M,School of Science,Out of Campus,0,5,2,2.0
576,4,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,2,3,0.0
577,4,Bachelor of Science,F,School of Science,Out of Campus,1,0,2,2.0
578,2,Bachelor of Science,F,School of Science,Out of Campus,0,2,3,0.0
579,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,2,1.0
580,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,2,2,2.0
581,3,Bachelor of Science,M,School of Science,Out of Campus,0,1,2,1.0
582,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,5,2,2.0
583,4,Bachelor of Engineering,M,School of Engineering,Halls,2,3,3,3.0
584,2,Bachelor of Engineering,F,School of Engineering,Halls,2,3,2,2.0
585,1,Bachelor of Business Admin,F,School of Business School,Halls,1,3,3,2.0
586,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,3.0
587,3,Bachelor of Science,F,School of Science,Out of Campus,2,5,2,2.0
588,2,Bachelor of Science,M,School of Science,Out of Campus,1,6,3,3.0
589,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,2,2,1.0
590,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,2.0
591,2,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
592,1,Bachelor of Science,M,School of Science,Out of Campus,2,1,2,2.0
593,3,Bachelor of Computing,M,School of Computing,Out of Campus,1,3,1,2.0
594,1,Bachelor of Arts,M,School of Arts & Social Science,Residences,2,4,2,1.0
595,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
596,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
597,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,6,2,2.0
598,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,3,4,2,2.0
599,3,Bachelor of Laws,M,School of Law,Out of Campus,2,2,2,2.0
600,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,6,2,2.0
601,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,4,3,3.0
602,3,Bachelor of Laws,M,School of Law,Out of Campus,1,4,2,2.0
603,1,Bachelor of Computing,M,School of Computing,Out of Campus,1,5,3,2.0
604,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,1,3.0
605,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,4,1,2,2.0
606,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,3.0
607,3,Bachelor of Arts,M,School of Arts & Social Science,Halls,1,1,2,2.0
608,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
609,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
610,1,Bachelor of Engineering,M,School of Engineering,Halls,2,3,2,2.0
611,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,3,2,3,3.0
612,3,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,2,2,2,2.0
613,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
614,2,Bachelor of Dental Surgery,F,School of Dentistry,Out of Campus,1,2,2,3.0
616,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,2,2,2.0
617,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,2.0
618,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,6,2,2.0
619,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,0,2,2,1.0
620,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,1,2,2.0
621,5,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,2,3,2,1.0
622,1,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,2,8,1,3.0
